paintingId,painting_name,artist,date,painting_style,painting_genre
1_0268,Saint Sébastien soigné par sainte Irène,Jean Allemant,Circa 1626-1631,Baroque,"['History painting', 'Religious painting']"
1_5870,Le Ravissement de saint François,Jacque de Bellange,Circa 1600-1605,Baroque,"['History painting', 'Religious painting']"
1_0379,La Transfiguration,Pierre-Paul Rubens,1604-1605,Baroque,"['History painting', 'Religious painting']"
1_0370,L'Annonciation,Frans II Pourbus dit Le Jeune,1619,Renaissance,"['History painting', 'Religious painting']"
2_2787,Promenade en barque,Francesco Giuseppe Casanova,Circa 1788,Rococo,"['Landscape', 'History painting']"
2_2789,La Halte de chasse,Francesco Giuseppe Casanova,Before 1788,Rococo,"['History painting', 'Landscape']"
2_2930,La Continence de Scipion,Cornelis de Vos,Circa 1630,Baroque,"['History painting', 'Portrait']"
2_2926,Jésus marchant sur les eaux,Pierre-Paul Rubens,Circa 1618,Baroque,"['History painting', 'Religious painting']"
2_2924,Vierge à l'Enfant,Antoon van Dyck,1630-1632,Baroque,"['Portrait', 'History painting']"
2_2922,Têtes de vieille femme,Jacob Jordaens,Circa 1620,Baroque,"['Portrait', 'Nude painting']"
2_2917,Les Compteurs d'argent,Marinus Van Roejmerswalen,Late 16th century,Renaissance,"['Portrait', 'History painting']"
2_2890,L'Adoration des bergers,Anonyme flamand,Second half of the 16th century,Renaissance,"['History painting', 'Religious painting']"
2_2867,Le mariage mystique de sainte Catherine,Joos Van Cleve,1514,Renaissance,"['History painting', 'Religious painting']"
2_2838,Déluge / Le Déluge,"Gerolamo Bassano / Leandro, dit Bassano Leandro da Ponte",Circa 1590,Renaissance,"['History painting', 'Landscape']"
2_2840,L'Enlèvement d'Hélène,Mathis Gerung,1530-1531,Renaissance,"['History painting', 'Nude painting']"
2_0527,Déposition de croix avec Joseph d'Arimthie,Maître du Saint-Sang,First quarter of the 16th century,Renaissance,"['History painting', 'Religious painting']"
2_2797,Sainte Catherine,Pseudo-Gioverone,16th century,Renaissance,"['History painting', 'Portrait']"
2_2801,Vierge à l'enfant accompagnée par deux anges,Francesco de Tatti,1512,Renaissance,"['History painting', 'Religious painting']"
2_2864,Naissance de la Vierge,Noël Bellemare,Late 15th century - Early 16th century,Renaissance,"['History painting', 'Religious painting']"
2_2859,Présentation de la Vierge au Temple,Noël Bellemare,Late 15th century - Early 16th century,Renaissance,"['History painting', 'Religious painting']"
2_2831,Sainte Famille avec saint Jean et sainte Elisabeth,Jacopino del Conte,16th century,Renaissance,"['History painting', 'Portrait']"
2_2829,La Sainte Trinité,Giorgio Vasari,Circa 1558,Renaissance,"['History painting', 'Religious painting']"
0_0570,Sans titre,André Cadéré,1969,Expressionism,"['Portrait', 'Nude painting']"
0_0680,"DIJ VII - VI 1,2,3",Julije Knifer,1990,Expressionism,"['Landscape', 'Nature morte']"
0_0678,Dante et Virgile,Gérard Garouste,1986,Expressionism,"['History painting', 'Portrait']"
0_0772,Autoportrait,Francis Gruber,1942,Expressionism,['Portrait']
0_0783,Pegeen dans son atelier,Jean Hélion,1954,Art Nouveau,"['Portrait', 'Nude painting']"
0_0815,"Le souk aux tapis, Marrakech",Jacques Majorelle,1924,Art Nouveau,"['Landscape', 'Cityscape']"
0_0829,Pierrotins,Georges Rouault,Circa 1932,Expressionism,"['Portrait', 'Nude painting']"
0_0731,Pipe d'eau douce,Etienne Cournault,1927,Expressionism,"['Landscape', 'Nature morte']"
0_0894,Travaux de nuit sur la voie publique,Luigi Loir,1902,Impressionism,"['Cityscape', 'Landscape']"
0_0879,Chant du soir,Alphonse Osbert,1906,Art Nouveau,"['Landscape', 'Nature morte']"
0_0843,Après l'enterrement,Camille Martin,1889,Impressionism,"['Landscape', 'History painting']"
0_0841,Les Amoureux,Emile Friant,1888,Impressionism,"['Portrait', 'Nude painting']"
0_0962,Après-midi à Pardigon,Henri-Edmond Cross,1907,Post Impressionism,"['Landscape', 'Nature morte']"
0_0347,Les bouleaux,Charles Peccatte,First half of the 20th century,Expressionism,"['Landscape', 'Nature morte']"
0_0353,Coin de jardin,Jules Antoine Voirin,19th century,Art Nouveau,"['Landscape', 'Nature morte']"
0_0356,Paysage de Diénay,Charles de Meixmoron de Dombasle,Second half of the 19th century,Romanticism,"['Landscape', 'Nature morte']"
0_0969,Portrait de Colette Gervex,Henri Gervex,1910,Realism,['Portrait']
0_0865,La Toussaint,Sylvain Lang,2007,Rococo,"['Portrait', 'History painting']"
1_0976,Soir de 14 juillet,Charles Wittman,1910,Impressionism,"['Landscape', 'Cityscape']"
1_0981,Portrait d'Emile Bastien-Lepage,Jules Bastien-Lepage,Undated,Realism,['Portrait']
1_0985,Les jours heureux/L'enfant endormi ,Emile Friant,1895,Impressionism,"['Portrait', 'Nude painting']"
1_0014,Portrait de Charles Cartier-Bresson,Jean-Matthias Schiff,After 1921,Modern Art,['Portrait']
1_0078,Retour de chasse au lion,Aimé-Nicolas Morot,1902,Romanticism,"['Landscape', 'History painting']"
1_0058,Soir d'automne en forêt (Ile-et-Vilaine),Jean-Henri Zuber,1878,Romanticism,"['Landscape', 'Nature morte']"
1_5928,Ellipse orange évidée par sept disques,Felice Varini,2000,Abstractionism,"['Landscape', 'Nature morte']"
1_0060,Jeune fille et la Mort,Henri-Léopold Lévy,1900,Romanticism,"['Portrait', 'Nude painting']"
1_0062,Paysage de montagne,Gustave Doré,Circa 1870,Romanticism,"['Landscape', 'Nature morte']"
1_5894,Paysanne italienne et son enfant,Louis-Stanislas Faivre-Duffer,1846,Romanticism,"['Portrait', 'Nude painting']"
1_5907,Roméo et Juliette,German von Bohn,1850,Romanticism,"['History painting', 'Portrait']"
1_0074,Médée,Henri Klagmann,1868,Romanticism,"['History painting', 'Nude painting']"
1_0141,Anne et Jehanne,Laura Leroux-Revault,Circa 1894,Romanticism,"['Portrait', 'History painting']"
1_5896,Portrait de Guilbert de Pixerécourt,Sophie Bertaud-Cheradame,1822,Romanticism,['Portrait']
