floorNumber_start,paintingId,user_id,duration_seconds,painting_name,artist,date,art_knowledge,art_involvement,visit_rate
1,1_5864,User_1,22.3,Eliézer et Rebecca,Henri-Antoine de Favanne,1693,Low level,No involvement,rarely or never
1,1_0235,User_1,30.61,Portrait équestre de Madame de Saint-Baslemont,Claude Déruet,1646,Low level,No involvement,rarely or never
1,1_0239,User_1,5.77,Madeleine pénitente,Nicolas Chaperon,Circa 1635,Low level,No involvement,rarely or never
1,1_0237,User_1,9.16,Nativité,Charles Poerson,Circa 1653-1655,Low level,No involvement,rarely or never
1,1_0266,User_1,23.5,Le Pape Alexandre VII porté à la procession du Corpus Domini,Giovanni Maria Morandi,Circa 1657,Low level,No involvement,rarely or never
1,1_0268,User_1,4.97,Saint Sébastien soigné par sainte Irène,Jean Allemant,Circa 1626-1631,Low level,No involvement,rarely or never
1,1_5870,User_1,13.41,Le Ravissement de saint François,Jacque de Bellange,Circa 1600-1605,Low level,No involvement,rarely or never
1,1_0379,User_1,139.42,La Transfiguration,Pierre-Paul Rubens,1604-1605,Low level,No involvement,rarely or never
1,1_0370,User_1,9.98,L'Annonciation,Frans II Pourbus dit Le Jeune,1619,Low level,No involvement,rarely or never
2,2_2787,User_1,12.18,Promenade en barque,Francesco Giuseppe Casanova,Circa 1788,Low level,No involvement,rarely or never
2,2_2789,User_1,4.22,La Halte de chasse,Francesco Giuseppe Casanova,Before 1788,Low level,No involvement,rarely or never
2,2_2930,User_1,72.23,La Continence de Scipion,Cornelis de Vos,Circa 1630,Low level,No involvement,rarely or never
2,2_2926,User_1,8.41,Jésus marchant sur les eaux,Pierre-Paul Rubens,Circa 1618,Low level,No involvement,rarely or never
2,2_2924,User_1,7.27,Vierge à l'Enfant,Antoon van Dyck,1630-1632,Low level,No involvement,rarely or never
2,2_2922,User_1,24.97,Têtes de vieille femme,Jacob Jordaens,Circa 1620,Low level,No involvement,rarely or never
2,2_2917,User_1,2.96,Les Compteurs d'argent,Marinus Van Roejmerswalen,Late 16th century,Low level,No involvement,rarely or never
2,2_2890,User_1,48.48,L'Adoration des bergers,Anonyme flamand,Second half of the 16th century,Low level,No involvement,rarely or never
2,2_2867,User_1,7.71,Le mariage mystique de sainte Catherine,Joos Van Cleve,1514,Low level,No involvement,rarely or never
2,2_2838,User_1,49.69,Déluge / Le Déluge,"Gerolamo Bassano / Leandro, dit Bassano Leandro da Ponte",Circa 1590,Low level,No involvement,rarely or never
2,2_2840,User_1,66.59,L'Enlèvement d'Hélène,Mathis Gerung,1530-1531,Low level,No involvement,rarely or never
2,2_0527,User_1,25.1,Déposition de croix avec Joseph d'Arimthie,Maître du Saint-Sang,First quarter of the 16th century,Low level,No involvement,rarely or never
2,2_2797,User_1,33.07,Sainte Catherine,Pseudo-Gioverone,16th century,Low level,No involvement,rarely or never
2,2_2801,User_1,0.07,Vierge à l'enfant accompagnée par deux anges,Francesco de Tatti,1512,Low level,No involvement,rarely or never
2,2_2864,User_1,17.07,Naissance de la Vierge,Noël Bellemare,Late 15th century - Early 16th century,Low level,No involvement,rarely or never
2,2_2859,User_1,8.12,Présentation de la Vierge au Temple,Noël Bellemare,Late 15th century - Early 16th century,Low level,No involvement,rarely or never
2,2_2831,User_1,34.23,Sainte Famille avec saint Jean et sainte Elisabeth,Jacopino del Conte,16th century,Low level,No involvement,rarely or never
2,2_2829,User_1,55.52,La Sainte Trinité,Giorgio Vasari,Circa 1558,Low level,No involvement,rarely or never
2,2_2789,User_1,18.81,La Halte de chasse,Francesco Giuseppe Casanova,Before 1788,Low level,No involvement,rarely or never
0,0_0570,User_2,12.77,Sans titre,André Cadéré,1969,Low level,No involvement,A few times a year
0,0_0680,User_2,45.5,"DIJ VII - VI 1,2,3",Julije Knifer,1990,Low level,No involvement,A few times a year
0,0_0678,User_2,19.91,Dante et Virgile,Gérard Garouste,1986,Low level,No involvement,A few times a year
0,0_0772,User_2,34.3,Autoportrait,Francis Gruber,1942,Low level,No involvement,A few times a year
0,0_0779,User_2,7.96,l'hommage à Callot,Francis Gruber,1942,Low level,No involvement,A few times a year
0,0_0783,User_2,27.38,Pegeen dans son atelier,Jean Hélion,1954,Low level,No involvement,A few times a year
0,0_0334,User_2,4.78,Paysage,Max Pechstein,1912,Low level,No involvement,A few times a year
0,0_0815,User_2,4.48,"Le souk aux tapis, Marrakech",Jacques Majorelle,1924,Low level,No involvement,A few times a year
0,0_0829,User_2,5.12,Pierrotins,Georges Rouault,Circa 1932,Low level,No involvement,A few times a year
0,0_0731,User_2,9.15,Pipe d'eau douce,Etienne Cournault,1927,Low level,No involvement,A few times a year
0,0_0894,User_2,34.53,Travaux de nuit sur la voie publique,Luigi Loir,1902,Low level,No involvement,A few times a year
0,0_0890,User_2,23.98,Les Voluptueux,Victor Prouvé,1889,Low level,No involvement,A few times a year
0,0_0879,User_2,13.1,Chant du soir,Alphonse Osbert,1906,Low level,No involvement,A few times a year
0,0_0859,User_2,22.5,Dans la forêt,Pascal-Adolphe-Jean Dagnan-Bouveret,1892,Low level,No involvement,A few times a year
0,0_0861,User_2,6.64,La Toussaint,Emile Friant,1888,Low level,No involvement,A few times a year
0,0_0869,User_2,30.57,La douleur,Emile Friant,1898,Low level,No involvement,A few times a year
0,0_0843,User_2,7.25,Après l'enterrement,Camille Martin,1889,Low level,No involvement,A few times a year
0,0_0841,User_2,7.96,Les Amoureux,Emile Friant,1888,Low level,No involvement,A few times a year
0,0_0962,User_2,13.59,Après-midi à Pardigon,Henri-Edmond Cross,1907,Low level,No involvement,A few times a year
0,0_0347,User_2,5.36,Les bouleaux,Charles Peccatte,First half of the 20th century,Low level,No involvement,A few times a year
0,0_0353,User_2,10.68,Coin de jardin,Jules Antoine Voirin,19th century,Low level,No involvement,A few times a year
0,0_0356,User_2,5.77,Paysage de Diénay,Charles de Meixmoron de Dombasle,Second half of the 19th century,Low level,No involvement,A few times a year
0,0_0969,User_2,8.49,Portrait de Colette Gervex,Henri Gervex,1910,Low level,No involvement,A few times a year
0,0_0865,User_2,51.76,La Toussaint,Sylvain Lang,2007,Low level,No involvement,A few times a year
0,0_0918,User_2,5.64,Église de la Salute à Venise,Henry de Waroquier,Circa 1930,Low level,No involvement,A few times a year
1,1_0976,User_2,12.56,Soir de 14 juillet,Charles Wittman,1910,Low level,No involvement,A few times a year
1,1_0978,User_2,10.8,Job,Jules Bastien-Lepage,Circa 1876-1877,Low level,No involvement,A few times a year
1,1_0981,User_2,8.78,Portrait d'Emile Bastien-Lepage,Jules Bastien-Lepage,Undated,Low level,No involvement,A few times a year
1,1_0985,User_2,7.85,Les jours heureux/L'enfant endormi ,Emile Friant,1895,Low level,No involvement,A few times a year
1,1_0987,User_2,11.44,Les jours heureux/L'enfant couronné de fleurs ,Emile Friant,1895,Low level,No involvement,A few times a year
1,1_0014,User_2,1.78,Portrait de Charles Cartier-Bresson,Jean-Matthias Schiff,After 1921,Low level,No involvement,A few times a year
1,1_5775,User_2,11.96,Panneau décoratif ovale : deux dragons gardant la perle sacrée,Anonyme,Undated,Low level,No involvement,A few times a year
1,1_5915,User_2,38.89,Restaurant en plein vent à Ain-Sefra,Marie-Aimée-Eliane Lucas-Robiquet,Second half of the 19th century - First half of the 20th century,Low level,No involvement,A few times a year
1,1_0078,User_2,33.37,Retour de chasse au lion,Aimé-Nicolas Morot,1902,Low level,No involvement,A few times a year
1,1_0058,User_2,13.66,Soir d'automne en forêt (Ile-et-Vilaine),Jean-Henri Zuber,1878,Low level,No involvement,A few times a year
1,1_5928,User_2,49.42,Ellipse orange évidée par sept disques,Felice Varini,2000,Low level,No involvement,A few times a year
1,1_0060,User_2,10.1,Jeune fille et la Mort,Henri-Léopold Lévy,1900,Low level,No involvement,A few times a year
1,1_0062,User_2,2.22,Paysage de montagne,Gustave Doré,Circa 1870,Low level,No involvement,A few times a year
1,1_5894,User_2,26.75,Paysanne italienne et son enfant,Louis-Stanislas Faivre-Duffer,1846,Low level,No involvement,A few times a year
1,1_5907,User_2,1.75,Roméo et Juliette,German von Bohn,1850,Low level,No involvement,A few times a year
1,1_0074,User_2,25.32,Médée,Henri Klagmann,1868,Low level,No involvement,A few times a year
1,1_0141,User_2,13.47,Anne et Jehanne,Laura Leroux-Revault,Circa 1894,Low level,No involvement,A few times a year
